,anguloEntreRoboTarget,distancia,va,vb,sa,sb,robo_vector,target_point
0,67,73,0,1,61,45,396,257
1,67,73,0,1,61,45,396,257
2,67,73,0,1,61,45,396,257
3,67,73,0,1,61,45,396,257
4,67,73,0,1,61,45,396,257
5,67,73,0,1,61,45,396,257
6,67,73,0,1,61,45,396,257
7,67,73,0,1,61,45,396,257
8,67,73,0,1,61,45,396,257
9,16,55,0,1,49,45,396,257
10,-258,43,0,1,70,45,396,257
11,-258,43,0,1,70,45,396,257
12,111,25,0,0,0,0,395,257
13,96,26,0,0,0,0,394,259
14,75,35,0,1,63,45,393,260
15,62,40,0,1,60,45,393,260
16,44,47,0,1,56,45,393,260
17,44,47,0,1,56,45,393,260
18,44,47,0,1,56,45,393,260
19,44,47,0,1,56,45,393,260
20,44,47,0,1,56,45,393,260
21,-39,35,1,0,45,54,393,260
22,-37,41,1,0,45,54,393,260
23,-24,47,1,0,45,51,393,260
24,-11,53,1,0,45,47,393,260
25,-11,53,1,0,45,47,393,260
26,-11,53,1,0,45,47,393,260
27,-11,53,1,0,45,47,393,260
28,-11,53,1,0,45,47,393,260
29,77,39,0,1,64,45,393,260
30,80,48,0,1,65,45,393,260
31,85,62,0,1,66,45,393,260
32,76,78,0,1,64,45,393,260
33,63,85,0,1,60,45,393,260
34,53,87,0,1,58,45,393,260
35,56,91,0,1,59,45,393,260
36,49,106,0,1,57,45,393,260
37,51,116,0,1,57,45,393,260
38,51,125,0,1,57,45,393,260
39,51,128,0,1,57,45,393,260
40,46,117,0,1,56,45,393,260
41,47,108,0,1,56,45,393,260
42,70,69,0,1,62,45,393,260
43,-271,67,0,1,67,45,393,260
44,-283,71,0,1,64,45,393,260
45,-288,84,0,1,62,45,393,260
46,-300,115,0,1,59,45,393,260
47,48,121,0,1,57,45,393,260
48,42,123,0,1,55,45,393,260
49,-302,104,0,1,59,45,393,260
50,-262,89,0,1,69,45,393,260
51,-228,91,0,1,77,45,393,260
52,-203,86,0,1,84,45,393,260
53,-203,86,0,1,84,45,393,260
54,-170,67,0,0,48,48,393,260
55,-168,68,1,0,45,87,393,260
56,-195,39,0,1,86,45,393,260
57,-195,39,0,1,86,45,393,260
58,-195,39,0,1,86,45,393,260
59,-116,59,1,0,45,74,393,260
60,-138,40,1,0,45,79,393,260
61,-138,40,1,0,45,79,393,260
62,-16,28,0,0,0,0,387,272
63,-1,28,0,0,0,0,384,276
64,11,24,0,0,0,0,379,283
65,-221,21,0,0,0,0,372,291
66,-154,272,1,0,45,83,487,72
67,-153,271,1,0,45,83,487,72
68,-152,274,1,0,45,83,487,72
69,-153,275,1,0,45,83,487,72
70,-159,272,1,0,45,84,487,72
71,-161,271,1,0,45,85,487,72
72,-176,271,0,0,57,57,487,72
73,-185,268,0,0,57,57,487,72
74,-195,265,0,1,86,45,487,72
75,-208,264,0,1,82,45,487,72
76,139,267,0,1,79,45,487,72
77,129,267,0,1,77,45,487,72
78,128,264,0,1,77,45,487,72
79,127,255,0,1,76,45,487,72
80,129,249,0,1,77,45,487,72
81,131,242,0,1,77,45,487,72
82,-200,224,0,1,84,45,487,72
83,-176,212,0,0,54,54,487,72
84,-155,207,1,0,45,83,487,72
85,-142,203,1,0,45,80,487,72
86,-136,200,1,0,45,79,487,72
87,-131,196,1,0,45,77,487,72
88,-127,193,1,0,45,76,487,72
89,-118,191,1,0,45,74,487,72
90,-111,191,1,0,45,72,487,72
91,-108,188,1,0,45,72,487,72
92,-108,186,1,0,45,72,487,72
93,-116,181,1,0,45,74,487,72
94,-118,180,1,0,45,74,487,72
95,-128,177,1,0,45,77,487,72
96,-131,179,1,0,45,77,487,72
97,-137,178,1,0,45,79,487,72
98,-147,178,1,0,45,81,487,72
99,-147,178,1,0,45,81,487,72
100,-154,186,1,0,45,83,487,72
101,-158,190,1,0,45,84,487,72
102,-165,188,1,0,45,86,487,72
103,-167,190,1,0,45,86,487,72
